Ticker,announcement date,period end,estimate,report,surprise,% surprise
LMT,22-Oct-19,19-Sep,$5.03 ,$5.66 ,0.63,12.5
NUE,22-Oct-19,19-Sep,$0.80 ,$0.90 ,0.1,12.5
ALGN,23-Oct-19,19-Sep,$1.14 ,$1.28 ,0.14,12.2
ALXN,23-Oct-19,19-Sep,$2.49 ,$2.79 ,0.3,12
BAC,16-Oct-19,19-Sep,$0.50 ,$0.56 ,0.06,12
DISH,7-Nov-19,19-Sep,$0.59 ,$0.66 ,0.07,11.8
PRGO,6-Nov-19,19-Sep,$0.93 ,$1.04 ,0.11,11.8
TXT,17-Oct-19,19-Sep,$0.85 ,$0.95 ,0.1,11.7
ICE,31-Oct-19,19-Sep,$0.95 ,$1.06 ,0.11,11.5
JKHY,4-Nov-19,19-Sep,$1.04 ,$1.16 ,0.12,11.5
MMC,29-Oct-19,19-Sep,$0.69 ,$0.77 ,0.08,11.5
BF-B,5-Dec-19,19-Oct,$0.53 ,$0.59 ,0.06,11.3
CBOE,1-Nov-19,19-Sep,$1.16 ,$1.29 ,0.13,11.2
FB,30-Oct-19,19-Sep,$1.91 ,$2.12 ,0.21,10.9
BIIB,22-Oct-19,19-Sep,$8.27 ,$9.17 ,0.9,10.8
IR,28-Oct-19,19-Sep,$0.37 ,$0.41 ,0.04,10.8
ABMD,31-Oct-19,19-Sep,$0.93 ,$1.03 ,0.1,10.7
TDG,19-Nov-19,19-Sep,$5.08 ,$5.62 ,0.54,10.6
ALLE,24-Oct-19,19-Sep,$1.33 ,$1.47 ,0.14,10.5
MSFT,23-Oct-19,19-Sep,$1.25 ,$1.38 ,0.13,10.4
PG,22-Oct-19,19-Sep,$1.24 ,$1.37 ,0.13,10.4
BMY,31-Oct-19,19-Sep,$1.06 ,$1.17 ,0.11,10.3
ANET,31-Oct-19,19-Sep,$2.44 ,$2.69 ,0.25,10.2
CAG,26-Sep-19,19-Aug,$0.39 ,$0.43 ,0.04,10.2
CPRT,20-Nov-19,19-Oct,$0.59 ,$0.65 ,0.06,10.1
GLW,29-Oct-19,19-Sep,$0.40 ,$0.44 ,0.04,10
MS,17-Oct-19,19-Sep,$1.10 ,$1.21 ,0.11,10
HUM,6-Nov-19,19-Sep,$4.58 ,$5.03 ,0.45,9.8
JPM,15-Oct-19,19-Sep,$2.44 ,$2.68 ,0.24,9.8
QCOM,6-Nov-19,19-Sep,$0.71 ,$0.78 ,0.07,9.8
AEP,24-Oct-19,19-Sep,$1.33 ,$1.46 ,0.13,9.7
IDXX,31-Oct-19,19-Sep,$1.13 ,$1.24 ,0.11,9.7
PHM,22-Oct-19,19-Sep,$0.92 ,$1.01 ,0.09,9.7
KSU,18-Oct-19,19-Sep,$1.77 ,$1.94 ,0.17,9.6
PWR,31-Oct-19,19-Sep,$1.04 ,$1.14 ,0.1,9.6
VLO,24-Oct-19,19-Sep,$1.35 ,$1.48 ,0.13,9.6
APH,23-Oct-19,19-Sep,$0.87 ,$0.95 ,0.08,9.2
ETR,30-Oct-19,19-Sep,$2.31 ,$2.52 ,0.21,9
IP,31-Oct-19,19-Sep,$1.00 ,$1.09 ,0.09,9
NBL,7-Nov-19,19-Sep,($0.11),($0.10),0.01,9
AKAM,28-Oct-19,19-Sep,$1.01 ,$1.10 ,0.09,8.9
LIN,12-Nov-19,19-Sep,$1.78 ,$1.94 ,0.16,8.9
SYF,18-Oct-19,19-Sep,$1.12 ,$1.22 ,0.1,8.9
BBY,26-Nov-19,19-Oct,$1.04 ,$1.13 ,0.09,8.6
STT,18-Oct-19,19-Sep,$1.39 ,$1.51 ,0.12,8.6
CME,30-Oct-19,19-Sep,$1.75 ,$1.90 ,0.15,8.5
AFL,24-Oct-19,19-Sep,$1.07 ,$1.16 ,0.09,8.4
CTAS,24-Sep-19,19-Aug,$2.14 ,$2.32 ,0.18,8.4
WMB,30-Oct-19,19-Sep,$0.24 ,$0.26 ,0.02,8.3
ZION,21-Oct-19,19-Sep,$1.08 ,$1.17 ,0.09,8.3
CHD,31-Oct-19,19-Sep,$0.61 ,$0.66 ,0.05,8.2
FRC,15-Oct-19,19-Sep,$1.21 ,$1.31 ,0.1,8.2
CVX,1-Nov-19,19-Sep,$1.47 ,$1.59 ,0.12,8.1
TPR,5-Nov-19,19-Sep,$0.37 ,$0.40 ,0.03,8.1
BK,16-Oct-19,19-Sep,$0.99 ,$1.07 ,0.08,8
DHI,12-Nov-19,19-Sep,$1.25 ,$1.35 ,0.1,8
ETFC,17-Oct-19,19-Sep,$1.00 ,$1.08 ,0.08,8
MCO,30-Oct-19,19-Sep,$1.99 ,$2.15 ,0.16,8
PCAR,22-Oct-19,19-Sep,$1.62 ,$1.75 ,0.13,8
TFX,31-Oct-19,19-Sep,$2.75 ,$2.97 ,0.22,8
LHX,30-Oct-19,19-Sep,$2.39 ,$2.58 ,0.19,7.9
HOG,22-Oct-19,19-Sep,$0.51 ,$0.55 ,0.04,7.8
VRTX,30-Oct-19,19-Sep,$1.14 ,$1.23 ,0.09,7.8
URI,16-Oct-19,19-Sep,$5.53 ,$5.96 ,0.43,7.7
SLB,18-Oct-19,19-Sep,$0.40 ,$0.43 ,0.03,7.5
TROW,24-Oct-19,19-Sep,$1.98 ,$2.13 ,0.15,7.5
COG,24-Oct-19,19-Sep,$0.27 ,$0.29 ,0.02,7.4
LKQ,31-Oct-19,19-Sep,$0.57 ,$0.61 ,0.04,7
RSG,30-Oct-19,19-Sep,$0.85 ,$0.91 ,0.06,7
CSX,16-Oct-19,19-Sep,$1.01 ,$1.08 ,0.07,6.9
MA,29-Oct-19,19-Sep,$2.01 ,$2.15 ,0.14,6.9
MGM,30-Oct-19,19-Sep,$0.29 ,$0.31 ,0.02,6.9
RMD,24-Oct-19,19-Sep,$0.87 ,$0.93 ,0.06,6.9
ADSK,26-Nov-19,19-Oct,$0.73 ,$0.78 ,0.05,6.8
AMP,23-Oct-19,19-Sep,$3.97 ,$4.24 ,0.27,6.8
PGR,16-Oct-19,19-Sep,$1.33 ,$1.42 ,0.09,6.7
AAPL,30-Oct-19,19-Sep,$2.84 ,$3.03 ,0.19,6.6
RL,7-Nov-19,19-Sep,$2.39 ,$2.55 ,0.16,6.6
HPE,25-Nov-19,19-Oct,$0.46 ,$0.49 ,0.03,6.5
HRB,4-Dec-19,19-Oct,($0.91),($0.85),0.06,6.5
WMT,14-Nov-19,19-Oct,$1.09 ,$1.16 ,0.07,6.4
INFO,24-Sep-19,19-Aug,$0.63 ,$0.67 ,0.04,6.3
ORLY,23-Oct-19,19-Sep,$4.78 ,$5.08 ,0.3,6.2
XOM,1-Nov-19,19-Sep,$0.64 ,$0.68 ,0.04,6.2
MXIM,29-Oct-19,19-Sep,$0.49 ,$0.52 ,0.03,6.1
ROST,21-Nov-19,19-Oct,$0.97 ,$1.03 ,0.06,6.1
SJM,22-Nov-19,19-Oct,$2.13 ,$2.26 ,0.13,6.1
JNJ,15-Oct-19,19-Sep,$2.00 ,$2.12 ,0.12,6
LRCX,23-Oct-19,19-Sep,$3.00 ,$3.18 ,0.18,6
COST,3-Oct-19,19-Aug,$2.54 ,$2.69 ,0.15,5.9
DUK,8-Nov-19,19-Sep,$1.69 ,$1.79 ,0.1,5.9
FIS,5-Nov-19,19-Sep,$1.35 ,$1.43 ,0.08,5.9
PM,17-Oct-19,19-Sep,$1.35 ,$1.43 ,0.08,5.9
CDNS,21-Oct-19,19-Sep,$0.51 ,$0.54 ,0.03,5.8
FAST,11-Oct-19,19-Sep,$0.35 ,$0.37 ,0.02,5.7
FL,22-Nov-19,19-Oct,$1.07 ,$1.13 ,0.06,5.6
MSCI,31-Oct-19,19-Sep,$1.59 ,$1.68 ,0.09,5.6
TXN,22-Oct-19,19-Sep,$1.41 ,$1.49 ,0.08,5.6
ULTA,5-Dec-19,19-Oct,$2.13 ,$2.25 ,0.12,5.6
ZTS,7-Nov-19,19-Sep,$0.89 ,$0.94 ,0.05,5.6
SPGI,29-Oct-19,19-Sep,$2.33 ,$2.46 ,0.13,5.5
PNR,23-Oct-19,19-Sep,$0.55 ,$0.58 ,0.03,5.4
SWK,24-Oct-19,19-Sep,$2.02 ,$2.13 ,0.11,5.4
CMCSA,24-Oct-19,19-Sep,$0.75 ,$0.79 ,0.04,5.3
FLS,30-Oct-19,19-Sep,$0.56 ,$0.59 ,0.03,5.3
REGN,5-Nov-19,19-Sep,$6.33 ,$6.67 ,0.34,5.3
AMAT,14-Nov-19,19-Oct,$0.76 ,$0.80 ,0.04,5.2
KMX,24-Sep-19,19-Aug,$1.33 ,$1.40 ,0.07,5.2
NEE,22-Oct-19,19-Sep,$2.27 ,$2.39 ,0.12,5.2
COP,29-Oct-19,19-Sep,$0.78 ,$0.82 ,0.04,5.1
ITW,25-Oct-19,19-Sep,$1.94 ,$2.04 ,0.1,5.1
PNC,16-Oct-19,19-Sep,$2.80 ,$2.94 ,0.14,5
AME,31-Oct-19,19-Sep,$1.01 ,$1.06 ,0.05,4.9
MDLZ,29-Oct-19,19-Sep,$0.61 ,$0.64 ,0.03,4.9
NDAQ,23-Oct-19,19-Sep,$1.21 ,$1.27 ,0.06,4.9
PKI,30-Oct-19,19-Sep,$1.01 ,$1.06 ,0.05,4.9
CHTR,25-Oct-19,19-Sep,$1.66 ,$1.74 ,0.08,4.8
DISCA,7-Nov-19,19-Sep,$0.83 ,$0.87 ,0.04,4.8
CCI,16-Oct-19,19-Sep,$1.48 ,$1.55 ,0.07,4.7
HSIC,5-Nov-19,19-Sep,$0.86 ,$0.90 ,0.04,4.6
ROK,12-Nov-19,19-Sep,$1.92 ,$2.01 ,0.09,4.6
DOV,17-Oct-19,19-Sep,$1.53 ,$1.60 ,0.07,4.5
EXC,31-Oct-19,19-Sep,$0.88 ,$0.92 ,0.04,4.5
PH,31-Oct-19,19-Sep,$2.64 ,$2.76 ,0.12,4.5
PRU,4-Nov-19,19-Sep,$3.08 ,$3.22 ,0.14,4.5
LOW,20-Nov-19,19-Oct,$1.35 ,$1.41 ,0.06,4.4
MMM,24-Oct-19,19-Sep,$2.47 ,$2.58 ,0.11,4.4
AZO,24-Sep-19,19-Aug,$21.64 ,$22.59 ,0.95,4.3
EL,31-Oct-19,19-Sep,$1.60 ,$1.67 ,0.07,4.3
JNPR,24-Oct-19,19-Sep,$0.46 ,$0.48 ,0.02,4.3
PLD,15-Oct-19,19-Sep,$0.93 ,$0.97 ,0.04,4.3
AMGN,29-Oct-19,19-Sep,$3.51 ,$3.66 ,0.15,4.2
ES,5-Nov-19,19-Sep,$0.94 ,$0.98 ,0.04,4.2
HCA,29-Oct-19,19-Sep,$2.14 ,$2.23 ,0.09,4.2
STZ,3-Oct-19,19-Aug,$2.61 ,$2.72 ,0.11,4.2
WU,31-Oct-19,19-Sep,$0.47 ,$0.49 ,0.02,4.2
FE,4-Nov-19,19-Sep,$0.73 ,$0.76 ,0.03,4.1
MHK,24-Oct-19,19-Sep,$2.64 ,$2.75 ,0.11,4.1
ADBE,17-Sep-19,19-Aug,$1.97 ,$2.05 ,0.08,4
MSI,30-Oct-19,19-Sep,$1.96 ,$2.04 ,0.08,4
PEP,3-Oct-19,19-Sep,$1.50 ,$1.56 ,0.06,4
CCL,26-Sep-19,19-Aug,$2.53 ,$2.63 ,0.1,3.9
CVS,6-Nov-19,19-Sep,$1.77 ,$1.84 ,0.07,3.9
GPS,21-Nov-19,19-Oct,$0.51 ,$0.53 ,0.02,3.9
CI,31-Oct-19,19-Sep,$4.37 ,$4.54 ,0.17,3.8
VRSN,24-Oct-19,19-Sep,$1.31 ,$1.36 ,0.05,3.8
AVY,23-Oct-19,19-Sep,$1.60 ,$1.66 ,0.06,3.7
CSCO,13-Nov-19,19-Oct,$0.81 ,$0.84 ,0.03,3.7
NCLH,7-Nov-19,19-Sep,$2.15 ,$2.23 ,0.08,3.7
PPG,17-Oct-19,19-Sep,$1.61 ,$1.67 ,0.06,3.7
USB,16-Oct-19,19-Sep,$1.11 ,$1.15 ,0.04,3.6
LLY,23-Oct-19,19-Sep,$1.43 ,$1.48 ,0.05,3.5
A,25-Nov-19,19-Oct,$0.86 ,$0.89 ,0.03,3.4
HON,17-Oct-19,19-Sep,$2.01 ,$2.08 ,0.07,3.4
HPQ,26-Nov-19,19-Oct,$0.58 ,$0.60 ,0.02,3.4
UNH,15-Oct-19,19-Sep,$3.75 ,$3.88 ,0.13,3.4
PVH,25-Nov-19,19-Oct,$3.00 ,$3.10 ,0.1,3.3
UAL,15-Oct-19,19-Sep,$3.94 ,$4.07 ,0.13,3.3
CLX,31-Oct-19,19-Sep,$1.54 ,$1.59 ,0.05,3.2
SIVB,24-Oct-19,19-Sep,$4.99 ,$5.15 ,0.16,3.2
AWK,30-Oct-19,19-Sep,$1.29 ,$1.33 ,0.04,3.1
PEG,31-Oct-19,19-Sep,$0.95 ,$0.98 ,0.03,3.1
ROP,24-Oct-19,19-Sep,$3.19 ,$3.29 ,0.1,3.1
DFS,22-Oct-19,19-Sep,$2.29 ,$2.36 ,0.07,3
EBAY,23-Oct-19,19-Sep,$0.65 ,$0.67 ,0.02,3
HBAN,24-Oct-19,19-Sep,$0.33 ,$0.34 ,0.01,3
HII,7-Nov-19,19-Sep,$3.63 ,$3.74 ,0.11,3
NTRS,23-Oct-19,19-Sep,$1.64 ,$1.69 ,0.05,3
PBCT,17-Oct-19,19-Sep,$0.33 ,$0.34 ,0.01,3
STX,1-Nov-19,19-Sep,$1.00 ,$1.03 ,0.03,3
TJX,19-Nov-19,19-Oct,$0.66 ,$0.68 ,0.02,3
WAB,31-Oct-19,19-Sep,$1.00 ,$1.03 ,0.03,3
AAL,24-Oct-19,19-Sep,$1.38 ,$1.42 ,0.04,2.9
DG,5-Dec-19,19-Oct,$1.38 ,$1.42 ,0.04,2.9
