Ticker,announcement date,period end,estimate,report,surprise,% surprise
APTV,30-Oct-19,19-Sep,$1.27 ,$1.27 ,0,0
ARE,28-Oct-19,19-Sep,$1.75 ,$1.75 ,0,0
EMR,5-Nov-19,19-Sep,$1.07 ,$1.07 ,0,0
FCX,23-Oct-19,19-Sep,($0.01),($0.01),0,0
FTV,24-Oct-19,19-Sep,$0.87 ,$0.87 ,0,0
HAL,21-Oct-19,19-Sep,$0.34 ,$0.34 ,0,0
HBI,31-Oct-19,19-Sep,$0.54 ,$0.54 ,0,0
HD,19-Nov-19,19-Oct,$2.53 ,$2.53 ,0,0
HES,30-Oct-19,19-Sep,($0.32),($0.32),0,0
HOLX,6-Nov-19,19-Sep,$0.65 ,$0.65 ,0,0
HRL,26-Nov-19,19-Oct,$0.47 ,$0.47 ,0,0
HSY,24-Oct-19,19-Sep,$1.61 ,$1.61 ,0,0
KMI,16-Oct-19,19-Sep,$0.22 ,$0.22 ,0,0
KO,18-Oct-19,19-Sep,$0.56 ,$0.56 ,0,0
LB,20-Nov-19,19-Oct,$0.02 ,$0.02 ,0,0
MCHP,5-Nov-19,19-Sep,$1.43 ,$1.43 ,0,0
MCK,30-Oct-19,19-Sep,$3.60 ,$3.60 ,0,0
NWSA,7-Nov-19,19-Sep,$0.04 ,$0.04 ,0,0
OKE,29-Oct-19,19-Sep,$0.74 ,$0.74 ,0,0
ORCL,11-Sep-19,19-Aug,$0.81 ,$0.81 ,0,0
PPL,5-Nov-19,19-Sep,$0.61 ,$0.61 ,0,0
RF,22-Oct-19,19-Sep,$0.39 ,$0.39 ,0,0
RHI,23-Oct-19,19-Sep,$1.01 ,$1.01 ,0,0
ROL,23-Oct-19,19-Sep,$0.22 ,$0.22 ,0,0
SBUX,30-Oct-19,19-Sep,$0.70 ,$0.70 ,0,0
SYK,29-Oct-19,19-Sep,$1.91 ,$1.91 ,0,0
TSCO,24-Oct-19,19-Sep,$1.04 ,$1.04 ,0,0
VAR,23-Oct-19,19-Sep,$1.21 ,$1.21 ,0,0
WAT,29-Oct-19,19-Sep,$2.13 ,$2.13 ,0,0
XYL,31-Oct-19,19-Sep,$0.82 ,$0.82 ,0,0
CMI,29-Oct-19,19-Sep,$3.84 ,$3.83 ,-0.01,-0.2
ECL,29-Oct-19,19-Sep,$1.72 ,$1.71 ,-0.01,-0.5
GILD,24-Oct-19,19-Sep,$1.76 ,$1.75 ,-0.01,-0.5
IFF,4-Nov-19,19-Sep,$1.54 ,$1.53 ,-0.01,-0.6
UNM,29-Oct-19,19-Sep,$1.37 ,$1.36 ,-0.01,-0.7
APD,7-Nov-19,19-Sep,$2.29 ,$2.27 ,-0.02,-0.8
EOG,6-Nov-19,19-Sep,$1.14 ,$1.13 ,-0.01,-0.8
VRSK,29-Oct-19,19-Sep,$1.13 ,$1.12 ,-0.01,-0.8
FISV,6-Nov-19,19-Sep,$1.03 ,$1.02 ,-0.01,-0.9
RCL,30-Oct-19,19-Sep,$4.31 ,$4.27 ,-0.04,-0.9
VMC,6-Nov-19,19-Sep,$1.70 ,$1.68 ,-0.02,-1.1
EVRG,6-Nov-19,19-Sep,$1.59 ,$1.57 ,-0.02,-1.2
LW,2-Oct-19,19-Aug,$0.80 ,$0.79 ,-0.01,-1.2
L,28-Oct-19,19-Sep,$0.75 ,$0.74 ,-0.01,-1.3
MAR,4-Nov-19,19-Sep,$1.49 ,$1.47 ,-0.02,-1.3
PXD,4-Nov-19,19-Sep,$2.02 ,$1.99 ,-0.03,-1.4
ADI,26-Nov-19,19-Oct,$1.21 ,$1.19 ,-0.02,-1.6
TSN,12-Nov-19,19-Sep,$1.23 ,$1.21 ,-0.02,-1.6
AOS,29-Oct-19,19-Sep,$0.54 ,$0.53 ,-0.01,-1.8
FBHS,23-Oct-19,19-Sep,$0.97 ,$0.95 ,-0.02,-2
KR,5-Dec-19,19-Oct,$0.48 ,$0.47 ,-0.01,-2
XEC,4-Nov-19,19-Sep,$0.93 ,$0.91 ,-0.02,-2.1
EMN,24-Oct-19,19-Sep,$1.99 ,$1.94 ,-0.05,-2.5
EIX,29-Oct-19,19-Sep,$1.53 ,$1.49 ,-0.04,-2.6
JBHT,15-Oct-19,19-Sep,$1.44 ,$1.40 ,-0.04,-2.7
LYB,1-Nov-19,19-Sep,$2.78 ,$2.70 ,-0.08,-2.8
MAS,30-Oct-19,19-Sep,$0.70 ,$0.68 ,-0.02,-2.8
UNP,17-Oct-19,19-Sep,$2.29 ,$2.22 ,-0.07,-3
VFC,25-Oct-19,19-Sep,$1.30 ,$1.26 ,-0.04,-3
CTL,6-Nov-19,19-Sep,$0.32 ,$0.31 ,-0.01,-3.1
ED,4-Nov-19,19-Sep,$1.59 ,$1.54 ,-0.05,-3.1
DLTR,26-Nov-19,19-Oct,$1.12 ,$1.08 ,-0.04,-3.5
ADS,24-Oct-19,19-Sep,$5.24 ,$5.05 ,-0.19,-3.6
FDX,17-Sep-19,19-Aug,$3.17 ,$3.05 ,-0.12,-3.7
MTB,17-Oct-19,19-Sep,$3.61 ,$3.47 ,-0.14,-3.8
XEL,24-Oct-19,19-Sep,$1.05 ,$1.01 ,-0.04,-3.8
GWW,23-Oct-19,19-Sep,$4.44 ,$4.26 ,-0.18,-4
MCD,22-Oct-19,19-Sep,$2.20 ,$2.11 ,-0.09,-4
BLL,31-Oct-19,19-Sep,$0.73 ,$0.70 ,-0.03,-4.1
DXC,11-Nov-19,19-Sep,$1.44 ,$1.38 ,-0.06,-4.1
DTE,28-Oct-19,19-Sep,$2.00 ,$1.91 ,-0.09,-4.5
GS,15-Oct-19,19-Sep,$5.03 ,$4.79 ,-0.24,-4.7
AMZN,24-Oct-19,19-Sep,$4.46 ,$4.23 ,-0.23,-5.1
MO,31-Oct-19,19-Sep,$1.14 ,$1.08 ,-0.06,-5.2
BR,6-Nov-19,19-Sep,$0.72 ,$0.68 ,-0.04,-5.5
CAT,23-Oct-19,19-Sep,$2.82 ,$2.66 ,-0.16,-5.6
BEN,25-Oct-19,19-Sep,$0.65 ,$0.61 ,-0.04,-6.1
CPRI,6-Nov-19,19-Sep,$1.25 ,$1.16 ,-0.09,-7.2
APA,30-Oct-19,19-Sep,($0.27),($0.29),-0.02,-7.4
CXO,29-Oct-19,19-Sep,$0.66 ,$0.61 ,-0.05,-7.5
LNC,30-Oct-19,19-Sep,$2.40 ,$2.22 ,-0.18,-7.5
CHRW,29-Oct-19,19-Sep,$1.16 ,$1.07 ,-0.09,-7.7
PNW,7-Nov-19,19-Sep,$3.03 ,$2.77 ,-0.26,-8.5
IPGP,29-Oct-19,19-Sep,$1.19 ,$1.08 ,-0.11,-9.2
MET,30-Oct-19,19-Sep,$1.41 ,$1.27 ,-0.14,-9.9
NEM,5-Nov-19,19-Sep,$0.40 ,$0.36 ,-0.04,-10
EXPE,6-Nov-19,19-Sep,$3.82 ,$3.38 ,-0.44,-11.5
UHS,24-Oct-19,19-Sep,$2.26 ,$1.99 ,-0.27,-11.9
NRG,7-Nov-19,19-Sep,$2.14 ,$1.88 ,-0.26,-12.1
KSS,19-Nov-19,19-Oct,$0.85 ,$0.74 ,-0.11,-12.9
FANG,5-Nov-19,19-Sep,$1.71 ,$1.47 ,-0.24,-14
CF,30-Oct-19,19-Sep,$0.34 ,$0.29 ,-0.05,-14.7
AVB,28-Oct-19,19-Sep,$2.35 ,$2.00 ,-0.35,-14.8
YUM,30-Oct-19,19-Sep,$0.94 ,$0.80 ,-0.14,-14.8
TWTR,24-Oct-19,19-Sep,$0.20 ,$0.17 ,-0.03,-15
PFG,24-Oct-19,19-Sep,$1.46 ,$1.23 ,-0.23,-15.7
TRIP,6-Nov-19,19-Sep,$0.69 ,$0.58 ,-0.11,-15.9
HAS,22-Oct-19,19-Sep,$2.22 ,$1.84 ,-0.38,-17.1
EQR,22-Oct-19,19-Sep,$0.88 ,$0.71 ,-0.17,-19.3
GOOG,28-Oct-19,19-Sep,$12.57 ,$10.12 ,-2.45,-19.4
GOOGL,28-Oct-19,19-Sep,$12.57 ,$10.12 ,-2.45,-19.4
WFC,15-Oct-19,19-Sep,$1.15 ,$0.92 ,-0.23,-20
WY,25-Oct-19,19-Sep,$0.10 ,$0.08 ,-0.02,-20
TIF,5-Dec-19,19-Oct,$0.85 ,$0.65 ,-0.2,-23.5
BA,23-Oct-19,19-Sep,$2.04 ,$1.45 ,-0.59,-28.9
PSA,29-Oct-19,19-Sep,$2.74 ,$1.93 ,-0.81,-29.5
EXR,29-Oct-19,19-Sep,$1.24 ,$0.83 ,-0.41,-33
TRV,22-Oct-19,19-Sep,$2.38 ,$1.43 ,-0.95,-39.9
SPG,30-Oct-19,19-Sep,$3.05 ,$1.77 ,-1.28,-41.9
AIG,1-Nov-19,19-Sep,$0.99 ,$0.56 ,-0.43,-43.4
IRM,31-Oct-19,19-Sep,$0.59 ,$0.32 ,-0.27,-45.7
FRT,30-Oct-19,19-Sep,$1.59 ,$0.84 ,-0.75,-47.1
ESS,23-Oct-19,19-Sep,$3.36 ,$1.51 ,-1.85,-55
O,4-Nov-19,19-Sep,$0.83 ,$0.33 ,-0.5,-60.2
KIM,24-Oct-19,19-Sep,$0.36 ,$0.14 ,-0.22,-61.1
MAC,31-Oct-19,19-Sep,$0.88 ,$0.33 ,-0.55,-62.5
REG,30-Oct-19,19-Sep,$0.96 ,$0.34 ,-0.62,-64.5
VNO,28-Oct-19,19-Sep,$0.87 ,$0.28 ,-0.59,-67.8
MAA,30-Oct-19,19-Sep,$1.55 ,$0.49 ,-1.06,-68.3
MOS,4-Nov-19,19-Sep,$0.27 ,$0.08 ,-0.19,-70.3
OXY,4-Nov-19,19-Sep,$0.41 ,$0.11 ,-0.3,-73.1
EQIX,30-Oct-19,19-Sep,$5.45 ,$1.41 ,-4.04,-74.1
FTI,23-Oct-19,19-Sep,$0.49 ,$0.12 ,-0.37,-75.5
VTR,25-Oct-19,19-Sep,$0.94 ,$0.23 ,-0.71,-75.5
WYNN,6-Nov-19,19-Sep,$0.88 ,$0.17 ,-0.71,-80.6
UDR,29-Oct-19,19-Sep,$0.52 ,$0.09 ,-0.43,-82.6
DLR,29-Oct-19,19-Sep,$1.64 ,$0.24 ,-1.4,-85.3
SBAC,28-Oct-19,19-Sep,$2.08 ,$0.19 ,-1.89,-90.8
AIV,31-Oct-19,19-Sep,$0.63 ,$0.01 ,-0.62,-98.4
NOV,28-Oct-19,19-Sep,$0.10 ,($0.61),-0.71,-710
